STROKE 1
57 222 1775152617.143000
59 221 1775152617.273000
67 217 1775152617.289000
76 215 1775152617.305000
83 214 1775152617.321000
88 215 1775152617.337000
91 217 1775152617.354000
93 220 1775152617.370000
93 225 1775152617.387000
92 228 1775152617.403000
90 230 1775152617.420000
85 232 1775152617.436000
75 230 1775152617.453000
65 226 1775152617.470000
58 219 1775152617.486000
53 211 1775152617.503000
51 203 1775152617.519000
51 193 1775152617.536000
55 179 1775152617.553000
61 171 1775152617.570000
67 166 1775152617.586000
73 163 1775152617.603000
80 164 1775152617.619000
87 166 1775152617.636000

STROKE 2
130 200 1775152617.896000
130 200 1775152617.985000
130 198 1775152618.001000
132 193 1775152618.018000
138 186 1775152618.035000
149 178 1775152618.051000
156 174 1775152618.068000
161 174 1775152618.085000
165 174 1775152618.101000
168 176 1775152618.118000
172 183 1775152618.135000
174 190 1775152618.151000
174 198 1775152618.168000
173 205 1775152618.184000
168 214 1775152618.201000
164 219 1775152618.218000
159 222 1775152618.234000
154 223 1775152618.251000
146 224 1775152618.268000
133 223 1775152618.284000
123 220 1775152618.301000
115 217 1775152618.318000
110 214 1775152618.334000
106 208 1775152618.351000
105 203 1775152618.367000
105 197 1775152618.384000
106 192 1775152618.401000
108 188 1775152618.417000
110 184 1775152618.434000
111 183 1775152618.450000
112 182 1775152618.467000
114 181 1775152618.484000
115 182 1775152618.500000
117 183 1775152618.517000
120 187 1775152618.534000
122 192 1775152618.550000
122 198 1775152618.567000
122 205 1775152618.583000
122 208 1775152618.600000
122 211 1775152618.617000
122 212 1775152618.629000

STROKE 3
183 204 1775152619.244000
183 202 1775152619.348000
188 193 1775152619.366000
196 183 1775152619.381000
206 176 1775152619.398000
215 172 1775152619.415000
223 171 1775152619.432000
232 173 1775152619.448000
238 178 1775152619.465000
242 184 1775152619.481000
244 192 1775152619.498000
244 200 1775152619.515000
241 208 1775152619.531000
237 214 1775152619.548000
233 219 1775152619.564000
229 224 1775152619.581000
225 232 1775152619.598000

